Titel;Nøgle
Tilmeldt SUPP regulering;ab-tilmeldt-supp-regulering
Varmetiilæg Regulering pga samlivsændring;ab-varmetill-regulering-samlivsaendring
Varmetillæg Ingen indregning;ab-varmetillaeg-ingen-indregning
Varmetillæg Regulering;ab-varmetillaeg-regulering
1. dag i reguleringsperioden;af-1dag-i-reguleringsperioden
ATP Pensionist andel regulering;af-atp-pensionist-andel-regulering
ATP Pensionist andel regulering SUPP Disp Dato1;af-atp-pensionist-andel-regulering-supp-disp-dato1
Regulering forrige opgør.periode;af-reg-forr-opgoerperiode
Regulering;af-regulering-varmtill
Varmetillæg Reguleringsslutdato forrige opgør.periode udbetaling;af-reguleringsdato-forrige-opgoer-periode-udbetaling
Reguleringsslutdato udbetaling;af-reguleringsslutdato-udbetaling
Samlet skattefri regulering ;af-samlet-skattefri-regulering
Sidste dag i reguleringsperioden;af-sidste-dag-i-reguleringsperioden
SUPP Pensionist andel regulering;af-supp-pensionist-andel-reg
SUPP Pensionist andel regulering + SUPP Disp Dato1;af-supp-pensionist-andel-regulering-supp-disp-dato1
Varmetillæg-regulering-i-alt;af-varmetillaeg-regulering-i-alt
TIkke berettiget til pension i efterreguleringsperioden, da under minimumsbeløbet;tabIkkeBerettigetTilPensionEfrperiodenUnderMinimumsbeloeb
TEFR FØP – 1/40 for opgørelsesperioden;tafEfrGrundbeloebFoep140Opgoerperiode
TEFR Grundbeløb FOP – 1/40 for opgørelsesperioden;tafEfrGrundbeloebFop140Opgoerperiode
TEFR Grundbeløb Gl. FØP – 1/40 for opgørelsesperioden;tafEfrGrundbeloebGlfoep140Opgoerperiode
TEFR Pensionstype art;tafEfrPensionstypeArt
tReguleringAfBevilgedeYdelser;tReguleringAfBevilgedeYdelser
tReguleringAfEjBevilgedeYdelser;tReguleringAfEjBevilgedeYdelser
1.dag i reguleringsperioden;tafDato1DagIReguleringsperioden
Sidste dag i reguleringsperioden;tafDatoSidsteDagIReguleringsperioden
tafSamletRegBrutto;tafSamletRegBrutto
tafSamletRegBruttoEjSkat;tafSamletRegBruttoEjSkat
taf1DagIReguleringsperioden;taf1DagIReguleringsperioden
tafSidsteDagIReguleringsperioden;tafSidsteDagIReguleringsperioden
tafSamletSkattepligtigReguleringBrutto;tafSamletSkattepligtigReguleringBrutto
tafSamletSkattefriRegulering;tafSamletSkattefriRegulering
T1. dag i reguleringsperioden;tafEnDagIReguleringsperioden
TRegulering flere mdr;tabRegFlereMdr
tafSkattepligtBevYdelserBeloebSamlet;tafSkattepligtBevYdelserBeloebSamlet
tafEjSkattepligtBevYdelserBeloebSamlet;tafEjSkattepligtBevYdelserBeloebSamlet
B100_1;B100_1
B100_2;B100_2
tabRegulering;tabRegulering
TFOP i opgørelsesperioden i efterreguleringsåret;tabFopIOpgIEfterreguleringsaaret
TFØP i opgørelsesperioden i efterreguleringsåret;tabFoepIOpgIEfterreguleringsaaret
TIngen efterbetaling pga. beregnet efterbet. 0 kr., till.% større end 0;tabVarmetillaegIngenEfterbetalingPgaBeregnetEfterbetaling0KrTillStoerreEnd0
Flere anvendte varmeudgifter i efterbetalingsperioden;tabVarmetillaegFlereAnvendteVarmeudgifterIEfterbetalingsperioden
Varmeudgift - Gennemsnit nyt ;tafVarmetillaegVarmeudgiftGennemsnitNyt
Varmeudgift - Gennemsnit nyt i alt ;tafVarmetillaegVarmeudgiftGennemsnitNytIAlt
BV4_5;BV4_5
Efterbetaling;ab-varmetillaeg-efterbetaling
Varmeperiode Startdato - Nyeste;af-varmetillaeg-varmeperiode-startdato-nyeste
Varmeperiode Slutdato - Nyeste;af-varmetillaeg-varmeperiode-slutdato-nyeste
Efterbetaling udbetalingsdato;af-varmetillaeg-efterbetaling-udbetalingsdato
Efterbetaling;af-varmetillaeg-efterbetaling
Ingen efterbetaling;ab-varmetillaeg-ingen-efterbetaling
Varmekompensation;ab-varmekompensation
"Afdød ægtefælle/samlever ENG	";af-afdoed-aegtefaelle-samlever-eng
B201_1_Eng;B201_1_Eng
B201_2_Eng;B201_2_Eng
B201_3_Eng;B201_3_Eng
Borger beregnes som enlig;ab-borger-beregnes-som-enlig
Borger beregnes som samlevende;ab-borger-beregnes-som-samlevende
Borger er enlig i opgørelsesperioden;tabBorgerErEnligIOopgoerelsesperioden
Borger beregnes som enlig;tabBorgerBeregnesSomEnlig
Borger beregnes som samlevende;tabBorgerBeregnesSomSamlevende
Borger er enlig i hele efterreguleringsåret ;tabBorgerErEnligIHeleEfterreguleringsaaret
Borger er enlig i hele efterreguleringsåret    ;ab-borger-er-enlig-i-hele-efterreguleringsaaret
Varmetillæg Tilgodehavende pga samlivsændring;tabVarmetillaegTilgodehavendePgaSamlivsaendring
Varmetillæg Tilbagebetaling pga samlivsændring   ;tabVarmetillaegTilbagebetalingPgaSamlivsaendring
Varmetillæg Mdl;tafVarmetillaegMdl
Nyt for periode i efterreg.periode;tafVarmetillaegNytForPeriodeIEfterregperiode
Tidl.udb. for periode i efterreg.periode;tafVarmetillaegTidlUdbForPeriodeIEfterregperiode
Diff. for periode;tafVarmetillaegDiffForPeriode
"Flere opgørelsesperioder i reguleringsperioden	";ab-varmetillaeg-flere-opgoerperioder-i-reguleringsperioden
"Flere opgørelsesperioder i opgørelsesperioden omregnes	";ab-varmetillaeg-flere-opgoerperioder-i-opgoerelsesperioden-omregnes
Beregningsgrundlag hidtidigt;tafVarmetillaegBeregningsgrundlagHidtidigt 
Varmeperiode Startdato - Nyeste ;tafVarmetillaegStartdatoNyeste 
Varmeudgift - Nyeste;tafVarmetillaegVarmeudgiftNyeste 
Varmeudgift - Ny i alt;tafVarmetillaegNyIAlt 
Logerendes andel;tafVarmetillaegLogerendesAndel 
Beregningsgrundlag varmekilde nyt;tafVarmetillaegBeregningsgrundlagVarmekildeNyt 
Beregningsgrundlag varmekilder nyt;tafVarmetillaegBeregningsgrundlagVarmekilderNyt 
Maksberegningsgrundlag;tafVarmetillaegMaksberegningsgrundlag 
Ekstra personers andel;tafVarmetillaegEkstraPersonersAndel
Beregningsgrundlag i alt efter nedsætt.nyt;tafVarmetillaegBeregningsgrundlagIAltEfterNedsaettelseNyt 
Maksberegningsgrundlag alm.sats;tafVarmetillaegMaksberegningsgrundlagAlmSats 
Maksberegningsgrundlag forhøjet sats;tafVarmetillaegMaksberegningsgrundlagForhoejetSats 
Borger er enlig;tabBorgerErEnlig 
Egenbetaling Enlig;tafVarmetillaegEgenbetalingEnlig 
Egenbetaling Samliv;tafVarmetillaegEgenbetalingSamliv 
Egenbetaling ;tafVarmetillaegEgenbetaling 
Beregningsgrundlag i alt efter nedsætt.;tafVarmetillaegBeregningsgrundlagIAltEfterNedsaettelse 
Årligt - Før varmekomp;tafVarmetillaegAarligtFoerVarmekomp 
tafVarmetillaegEgenbetalingGraenseBeregningsgrundlagPct ;tafVarmetillaegEgenbetalingGraenseBeregningsgrundlagPct 
tafVarmetillaegPct ;tafVarmetillaegPct 
Varmekompensationsbeløb;tafVarmetillaegVarmekompensationsbeloeb 
tafVarmetillaegPctUdenFradragKollektivOpv ;tafVarmetillaegPctUdenFradragKollektivOpv 
Årligt - Uden fradrag kollektiv opvarmning;tafVarmetillaegAarligtUdenFradragKollektivOpvarmning 
Forskel;tafVarmetillaegForskel 
Beregnet procent;tafPersonligTillaegsprocentBeregnetProcent 
Årligt - Afrundet;tafVarmetillaegAarligtAfrundet 
Varmeperiode Startdato - Nyeste ;tafVarmetillaegVarmeperiodeStartdatoNyeste
Varmeperiode Slutdato - Nyeste ;tafVarmetillaegVarmeperiodeSlutdatoNyeste 
 Anvendt samme varmeudgift Eft.bet.periode Startdato;tafVarmetillaegAnvendtSammeVarmeudgiftEfterbetalingPeriodeStartdato 
 Anvendt samme varmeudgift Eft.bet.periode Slutdato;tafVarmetillaegAnvendtSammeVarmeudgiftEfterbetalingPeriodeSlutdato 
Anvendt årlig varmeudgift;tafVarmetillaegAnvendtAarligVarmeudgift 
Antal mdr. i eft.bet.perioden m. samme varmeudgift;tafVarmetillaegAntalMdrIEfterbetalingPeriodenMSammeVarmeudgift
Anvendt kvotadelt varmeudgift;tafVarmetillaegAnvendtKvotadeltVarmeudgift 
Varmeudgift - Nyeste i alt;tafVarmetillaegVarmeudgiftNyesteIAlt 
Opgørelsesperiode Startdato;tafVarmetillaegOpgoerelsesperiodeStartdato 
Opgørelsesperiode Slutdato;tafVarmetillaegOpgoerelsesperiodeSlutdato 
Årligt - Efter varmekomp;tafVarmetillaegAarligtEfterVarmekomp 
Nyt for periode i efterbetalingsperiode;tafVarmetillaegNytForPeriodeIEfterbetalingsperiode 
Baseret på hidt. varmeudg., for periode i efterbetalingsperiode;tafVarmetillaegBaseretPaaHidtidigeVarmeudgiftMdlIEfterbetalingsperiode 
Efterbetaling for periode;tafVarmetillaegEfterbetalingForPeriode 
Efterbetaling;tafVarmetillaegEfterbetaling 
Efterbetaling samlet negativ;tabVarmetillaegEfterbetalingSamletNegativ 
Tabel - Skriv beløb (Nb. bruges kun i B10b);skriv-beloeb
b10b;b10b
EB Opgørelsesperiode Startdato;tafEbOpgoerelsesperiodeStartdato
EB Opgørelsesperiode Slutdato;tafEbOpgoerelsesperiodeSlutdato
EB Opgørelsesstatus;tafEbOpgoerelsestatus
EB Intet skattekort;tabEBIntetSkattekort
EB Trækprocent;tafEbSkatTraekPct
EB Skattefritagelse;tabEbSkattefritagelse
EB Skattekort alm.;tabEbSkattekortAlm
EB Skattekorttype;tafEbSkatSkattekorttype
EB Borger beregnes som enlig;tabEbBorgerBeregnesSomEnlig
EB Betales skat af beløb;tabEbBetalesSKATAfBeloebet
EB Arbejdsindkomst;tabEbArbejdsindkomst
EB Personlig indkomst udover social pension;tabEbPersIndkomstUdoverSocPen
EB Kapitalindkomst;tabEbKapitalindkomst
EB Aktieindkomst mv.;tabEbAktieindkomstmv
EB Betales ikke skat af beløb;tabEbBetalesIkkeSKATAfBeloebet
EB Skattefri Arbejdsindkomst;tabEbEjSkattepligtigArbejdsindkomst
EB Skattefri Personlig indkomst udover social pension;tabEbEjSkattepligtigPersIndkomstUdoverSocPen
EB Skattefri Kapitalindkomst;tabEbEjSkattepligtigKapitalindkomst
EB Skattefri Aktieindkomst mv.;tabEbEjSkattepligtigAktieindkomstmv
EB Borger beregnes som samlevende;tabEbBorgerBeregnesSomSamlevende
EB En opgørelsesperiode og gift;tabEbEnOpgperiodeOgGift
EB En opgørelsesperiode og samlevende;tabEbEnOpgOgSamlevende
EB Flere opgørelsesperioder, samlevers navn ukendt;tabEbFlereOpgperioderSamleversNavnUkendt
EB CPR Samlevers Cpr-nummer;tafEbCprNrSamlever
EB Flere opgørelsesperioder;tabEbFlereOpgoerelsesperioder
EB Navn Samlevers fornavn;tafEbNavnSamleversFornavn
EB Navn Samlevers efternavn;tafEbNavnSamleversEfternavn
EB Grundbeløb FOP - Fradragsbeløb årligt;tafEbGrundbeloebFOPFradragAarligt
EB Grundbeløb FOP – Fradragsbeløb;tafEbGrundbeloebFOPFradragsbeloeb
EB Grundbeløb fuldt og 40/40;tabEbGrundbeloebFuldtOg4040
EB Grundbeløb fuldt med brøkpension;tabEbGrundbeloebFuldtMedBroekpen
EB Bopælstid Bopælsår;tafEbBopaelstidBopaelsaar
EB Grundbeløb FOP Sats mdl;tafEbGrundbeloebFOPSatsMdl
EB Grundbeløb Nedsættelse;tafEbGrundbeloebNedsaett
EB Indkomst Pensionist - Arbejdsindkomst nedrundet;tafEbIndkomPensArbindkomstNedrund
EB Indkomstgrundlag Gr.beløb;tafEbIndkomstgrundGrBeloeb
EB Grundbeløb FOP - Nedsættelses%;tafEbGrundbeloebFOPNedsaettPct
EB Opgørelsesperiode mere end en måned;tabEbOpgperiodeMereEndEnMaaned
EB Grundbeløb  FOP – Sats;tafEbGrundbeloebFOPSats
EB Ikke brøkpension;tabEbIkkeBroekpension
EB Grundbeløb nedsat;tabEbGrundbeloebNedsat
EB Grundbeløb Brutto for opgørelsesperioden, afrundet;tafEbGrundbeloebBruttoOpgperiodeAfrundet
EB Opgørelsesperiode skæv;tabEbOpgoerelsesperiodeSkaev
EB Grundbeløb afrundet;tabEbGrundbeloebAfrundet
EB Opgørelsesperiode Antal måneder;tafEbOpgperiodeAntalMaaneder
EB Grundbeløb nedsat med brøkpension;tabEbGrundbeloebNedsatMedBroekpension
EB Grundbeløb Brutto for opgørelsesperioden, ikke afrundet;tafEbGrundbeloebBruttoOpgperiodeIkkeAfrundet
EB Grundbeløb Nedsættelse brøk, afrundet;tafEbGrundbeloebNedsaetBroekAfrundet
EB Grundbeløb afrundet, nedsat bopælstid;tabEbGrundbeloebAfrundetNedsatBopaelstid
EB Grundbeløb Brutto mdl;tafGrundbeloebBruttoMdl
Borger bor i et EU/EØS-land eller Schweiz;tabEbBorgerBorIEtEUEOESLandEllerSchweiz
EB Personlig indkomst er negativ;tabEbPersonligIndkomstErNegativ
EB Bundfradrag FOP årligt;tafEbBundfradragFOPAarligt
EB Opgørelsesperiode anden dato end 1/1;tabEbOpgperiodeAndenDatoEnd11
EB Bundfradrag FOP;tafEbBundfradragFOP
EB Overført uudnyttet bundfradrag;tabEbOverfoertUudnyttetBundfradrag
EB Bundfradrag FOP inkl. uudnyttet overført;tafEbBundfradragFopInklUudnyttetOverfoert
EB Pensionstillæg fuldt;tabEbPensionstillaegFuldt
EB Pensionstillæg FOP - Fradragsbeløb enlig årligt;tafEbPensionstillaegFOPFradragsbeloebEnligAarligt
EB Pensionstillæg FOP - Fradragsbeløb enlig;tafEbPensionstillaegFOPFradragsbeloebEnlig
EB Pensionstillæg 40/40;tabEbPensionstillaeg4040
EB Pensionstillæg Brutto mdl;tafEbPensionstillaegBruttoMdl
EB Pensionstillæg med brøkpension;tabEbPensionstillaegMedBroekpension
EB Samlivsstatus S;tabEbSamlivsstatusS
EB Pensionstillæg FOP - Sats samliv mdl;tafEbPensionstillFOPSatsSamlivMdl
EB Pensionstillæg FOP - Sats enlig mdl;tafEbPensionstillaegFOPSatsEnligMdl
EB Pensionstillæg nedsat;tabEbPensionstillaegNedsat
EB Borger arbejdsindkomst over 0;tabEbBorgerArbindkomstOver0
EB Indkomst Pensionist - Arbejdsindkomst;tafEbIndkomstPensionistArbindkomst
EB Bundfradrag FOP anvendt;tafEbBundfradragFOPAnvendt
EB Indkomst Pensionist - Arbejdsindkomst efter bundfradrag;tafEbIndkomstPensionistArbindkomstEfterBundfradrag
EB Personlig indkomst inkl. social pension er ikke negativ;tabEbPersonligIndkomstInklSocialPensionErIkkeNegativ
EB Indkomst Pensionist - Personlig indkomst;tafEbIndkomstPensionistPersonligIndkomst
EB Indkomst Pensionist - Nettokapitalindkomst;tafEbIndkomstPensionistNettokapitalindkomst
EB Indkomst Pensionist - Aktieindkomst og -udbytte;tafEbIndkomstPensionistAktieindkomstOgUdbytte
EB Indkomst Pensionist – Samlet efter evt bundfradrag;tafEbIndkomstPensionistSamletEfterEvtBundfradrag
EB Personlig indkomst udover social pension er negativ;tabEbPersonligIndkomstUdoverSocialPensionErNegativ
EB Indkomst Samlet efter evt bundfradrag nedrundet pensionstillæg;tafEbIndkomstSamletEfterEvtBundfradragNedrundetPensionstillaeg
EB Indkomstgrundlag Pens.till;tafEbIndkomstgrundlagPensTill
EB Pensionstillæg FOP – Nedsættelses% samliv;tafEbPensionstillFOPNedsaettelsesPctSamliv
EB Pensionstillæg FOP – Nedsættelses% enlig;tafEbPensionstillaegFopNedsaettelsespctEnlig
EB Pensionstillæg FOP – Sats samliv;tafEbPensionstillFOPSatsSamliv
EB Pensionstillæg FOP – Sats enlig;tafEbPensionstillaegFopSatsEnlig
EB Pensionstillæg Nedsættelse;tafEbPensionstillaegNedsaettelse
EB Pensionstillæg Brutto for opgørelsesperioden, afrundet;tafEbPensionstillaegBruttoForOpgperiodenAfrundet
EB Pensionstillæg afrundet;tabEbPensionstillaegAfrundet
EB Pensionstillæg Brutto for opgørelsesperioden, ikke afrundet;tafEbPensionstillBruttoForOpgperiodenIkkeAfrundet
EB Pensionstillæg Nedsættelse brøk, afrundet;tafEbPensiontillFOPNedsaettBroekAfrundet
EB Pensionstillæg afrundet, nedsat bopælstid;tabEbPensionstillaegAfrundetNedsatBopaelstid
EB Persondata Ægtefælle/samlever;tafEbPersondataAegtefaelleSamlever
EB Samlever folkepensionist;tabEbSamleverFolkepensionist
EB Samlever ikke pensionist;tabEbSamleverIkkePensionist
EB Pensionstillæg FOP - Fradragsbeløb samliv årligt;tafEbPensionstillFOPFradragsbeloebSamlivAarligt
EB Pensionstillæg FOP - Fradragsbeløb samliv;tafEbPensionstillFOPFradragsbeloebSamliv
ERSTAT;tafEbPensionstillaegBruttoEksklIndregningMdl
EB Samlever folkepensionist og samlever arbejdsindkomst over 0;tabEbSamleverFOPSamleverArbindkomstOver0
EB Indkomst Samlever - Arbejdsindkomst;tafEbIndkomstSamleverArbindkomst
EB Bundfradrag FOP samlever anvendt;tafEbBundfradragFOPSamleverAnvendt
EB Indkomst Samlever – Arbejdsindkomst efter bundfradrag;tafEbIndkomstSamleverArbindkomstEfterBundfradrag
EB Personlig indkomst inkl. evt. social pension er ikke negativ, samlever;tabEbPersonligIndkomstInklSocialPensionErIkkeNegativSamlever
EB Indkomst Samlever - Personlig indkomst;tafEbIndkomstSamleverPersonligIndkomst
EB Indkomst Samlever - Nettokapitalindkomst;tafEbIndkomstSamleverNettokapitalindkomst
EB Indkomst Samlever - Aktieindkomst og -udbytte;tafEbIndkomstSamleverAktieindkomstOgUdbytte
